Goods Received Note (GRN)
Document Number,GRN-KNOT-20250709-HouseofKoala-REP-2024-001
Generated Date,09/07/2025
Generated Time,15:50:18

Order Information
PO Number,PO-2024-001
Vendor/Brand,House of Koala
Replenishment Number,REP-2024-001

Receipt Information
Inward Date,2025-07-09
Warehouse,WH-MUM-01
Receipt Accuracy,0%

Summary Statistics
Total Ordered Units,0
Total Received Units,1499
Total Shortage Units,0
Total Excess Units,0
Total Not Ordered Units,0
Total QC Passed Units,1499
Total QC Failed Units,0
QC Pass Rate,100%


S.No,Brand SKU,KNOT SKU,Size,Color,Received Qty,QC Status,Passed QC Qty,Failed QC Qty,Status,Remarks,QC Fail Reason
139,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
140,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
141,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
142,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
143,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
144,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
145,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
146,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
147,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
148,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
149,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
150,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
151,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
152,,,,,4,Passed,4,0,Received,All items received as ordered | QC: Passed (4 passed),
153,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
154,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
155,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
156,,,,,4,Passed,4,0,Received,All items received as ordered | QC: Passed (4 passed),
157,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
158,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
159,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
160,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
161,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
162,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
163,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
164,,,,,4,Passed,4,0,Received,All items received as ordered | QC: Passed (4 passed),
165,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
166,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
167,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
168,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
169,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
170,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
171,,,,,4,Passed,4,0,Received,All items received as ordered | QC: Passed (4 passed),
172,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
173,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
174,,,,,4,Passed,4,0,Received,All items received as ordered | QC: Passed (4 passed),
175,,,,,4,Passed,4,0,Received,All items received as ordered | QC: Passed (4 passed),
176,,,,,4,Passed,4,0,Received,All items received as ordered | QC: Passed (4 passed),
177,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
178,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
179,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
180,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
181,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
182,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
183,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
184,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
185,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
186,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
187,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
188,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
189,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
190,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
191,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
192,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
193,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
194,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
195,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
196,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
