Bin ,SKU
A14-S2-B7,8905723457198
A14-S2-B7,8905723457198
A14-S2-B7,8905723458270
A14-S2-B7,8905723465025
A14-S2-B7,8905723482596
A14-S2-B7,8905723465025
A14-S2-B8,8905723048723
A14-S2-B8,8905723479954
A14-S2-B8,8905723479954
A14-S2-B8,8905723475901
A14-S2-B8,8905723459901
A14-S2-B8,8905723461867
A14-S2-B8,8905723458270
A14-S2-B8,8905723464486
A14-S2-B8,8905723456658
A14-S2-B8,8905723140519
A14-S2-B8,8905723464912
A14-S2-B8,8905723482633
A14-S2-B8,8905723460495
A14-S2-B8,8905723464486
A14-S2-B8,8905723461867
A14-S2-B9,8905723464912
A14-S2-B9,8905723482596
A14-S2-B9,8905723456658
A14-S2-B9,8905723465148
A14-S2-B9,8905723465148
A14-S2-B9,8905723460495
A14-S2-B9,8905723475901
A14-S2-B9,8905723459901
A14-S2-B9,8905723140519
A14-S2-B9,8905723456832
A14-S2-B9,8905723462413
A14-S2-B9,8905723456832
A14-S2-B9,8905723466299
A14-S2-B9,8905723048808
A14-S2-B9,8905723048808
A14-S2-B10,8905723460518
A14-S2-B10,8905723457877
A14-S2-B10,8905723460006
A14-S2-B10,8905723048563
A14-S2-B10,8905723456641
A14-S2-B10,8905723458324
A14-S2-B10,8905723475918
A14-S2-B10,8905723464356
A14-S2-B10,8905723482657
A14-S2-B10,8905723456580
A14-S2-B10,8905723468514
A14-S2-B10,8905723463694
A14-S2-B10,8905723478896
A14-S2-B10,8905723140601
A14-S2-B10,8905723465049
A14-S2-B11,8905723463663
A14-S2-B11,8905723465162
A14-S2-B11,8905723457853
A14-S2-B11,8905723464929
A14-S2-B11,8905723464899
A14-S2-B11,8905723464264
A14-S2-B11,8905723465995
A14-S2-B11,8905723458348
A14-S2-B11,8905723048396
A14-S2-B11,8905723468538
A14-S2-B11,8905723481919
A14-S2-B11,8905723460433
A14-S2-B11,8905723140618
A14-S2-B12,8905723465100
A14-S2-B12,8905723464622
A14-S2-B12,8905723464509
A14-S2-B12,8905723479978
A14-S2-B12,8905723458263
A14-S2-B12,8905723459918
A14-S2-B12,8905723467043
A14-S2-B12,8905723482626
A14-S2-B12,8905723460068
A14-S2-B12,8905723481797
A14-S2-B12,8905723479947
A14-S2-B12,8905723468651
A14-S2-B12,8905723456672
A14-S2-B12,8905723467425
A14-S2-B12,8905723465131
A14-S2-B13,8905723466305
A14-S2-B13,8905723457396
A14-S2-B13,8905723466077
A14-S2-B13,8905723140960
A14-S2-B13,8905723466084
A14-S2-B13,8905723481933
A14-S2-B13,8905723457389
A14-S2-B13,8905723458393
A14-S2-B13,8905723457914
A14-S2-B13,8905723461997
A14-S2-B13,8905723371029
A14-S2-B13,8905723048464
A14-S2-B13,8905723048464
A14-S2-B13,8905723371029
A14-S2-B13,8905723048617
A14-S2-B14,8905723475895
A14-S2-B14,8905723481933
A14-S2-B14,8905723466015
A14-S2-B14,8905723466077
A14-S2-B14,8905723457372
A14-S2-B14,8905723460198
A14-S2-B14,8905723048402
A14-S2-B14,8905723143572
A14-S2-B14,8905723463656
A14-S2-B14,8905723463656
A14-S2-B14,8905723457860
A14-S2-B14,8905723482640
A14-S2-B14,8905723478872
A14-S2-B14,8905723467272
A14-S2-B14,8905723478872
A14-S2-B15,8905723461515
A14-S2-B15,8905723460440
A14-S2-B15,8905723458287
A14-S2-B15,8905723143572
A14-S2-B15,8905723463649
A14-S2-B15,8905723457846
A14-S2-B15,8905723463649
A14-S2-B15,8905723458287
A14-S2-B15,8905723459895
A14-S2-B15,8905723460440
A14-S2-B15,8905723467418
A14-S2-B15,8905723465155
A14-S2-B15,8905723048402
A14-S2-B15,8905723461522
A14-S2-B15,8905723467401
A14-S3-B1,8905723456665
A14-S3-B1,8905723467401
A14-S3-B1,8905723461522
A14-S3-B1,8905723467272
A14-S3-B1,8905723460624
A14-S3-B1,8905723140526
A14-S3-B1,8905723140526
A14-S3-B1,8905723467418
A14-S3-B1,8905723456665
A14-S3-B1,8905723482640
A14-S3-B1,8905723460624
A14-S3-B1,8905723460198
A14-S3-B1,8905723465155
A14-S3-B1,8905723461515
A14-S3-B1,8905723468613
A14-S3-B2,8905723460204
A14-S3-B2,8905723371036
A14-S3-B2,8905723467289
A14-S3-B2,8905723460488
A14-S3-B2,8905723460211
A14-S3-B2,8905723460181
A14-S3-B2,8905723480004
A14-S3-B2,8905723468606
A14-S3-B2,8905723460426
A14-S3-B2,8905723460631
A14-S3-B2,8905723462000
A14-S3-B2,8905723473105
A14-S3-B2,8905723460600
A14-S3-B2,8905723460204
A14-S3-B2,8905723462406
A14-S3-B3,8905723468606
A14-S3-B3,8905723461874
A14-S3-B3,8905723462406
A14-S3-B3,8905723461874
A14-S3-B3,8905723213862
A14-S3-B3,8905723461980
A14-S3-B3,8905723468590
A14-S3-B3,8905723461980
A14-S3-B3,8905723461409
A14-S3-B3,8905723213862
A14-S3-B3,8905723143589
A14-S3-B3,8905723466060
A14-S3-B3,8905723140502
A14-S3-B3,8905723372781
A14-S3-B3,8905723460099
A14-S3-B4,8905723482671
A14-S3-B4,8905723048433
A14-S3-B4,8905723461416
A14-S3-B4,8905723467494
A14-S3-B4,8905723464592
A14-S3-B4,8905723464240
A14-S3-B4,8905723464240
A14-S3-B4,8905723461409
A14-S3-B4,8905723468590
A14-S3-B4,8905723140533
A14-S3-B4,8905723143558
A14-S3-B4,8905723462390
A14-S3-B4,8905723475888
A14-S3-B4,8905723458294
A14-S3-B4,8905723478865
A14-S3-B5,8905723048624
A14-S3-B5,8905723457938
A14-S3-B5,8905723467258
A14-S3-B5,8905723480011
A14-S3-B5,8905723465018
A14-S3-B5,8905723480011
A14-S3-B5,8905723468538
A14-S3-B5,8905723473112
A14-S3-B5,8905723458348
A14-S3-B5,8905723048396
A14-S3-B5,8905723481919
A14-S3-B5,8905723140618
A14-S3-B5,8905723468675
A14-S3-B5,8905723457853
A14-S3-B5,8905723460433
A14-S3-B6,8905723481926
A14-S3-B6,8905723460013
A14-S3-B6,8905723460013
A14-S3-B6,8905723465094
A14-S3-B6,8905723481926
A14-S3-B6,8905723473129
A14-S3-B6,8905723464615
A14-S3-B6,8905723464615
A14-S3-B6,8905723140625
A14-S3-B6,8905723464608
A14-S3-B6,8905723213879
A14-S3-B6,8905723468521
A14-S3-B6,8905723478889
A14-S3-B6,8905723464257
A14-S3-B6,8905723213879
A14-S3-B7,8905723468668
A14-S3-B7,8905723468675
A14-S3-B7,8905723468668
A14-S3-B7,8905723466008
A14-S3-B7,8905723465094
A14-S3-B7,8905723466008
A14-S3-B7,8905723473112
A14-S3-B7,8905723473129
A14-S3-B7,8905723456849
A14-S3-B7,8905723460020
A14-S3-B7,8905723482695
A14-S3-B7,8905723457921
A14-S3-B7,8905723140960
A14-S3-B7,8905723466084
A14-S3-B7,8905723458331
A14-S3-B8,8905723465087
A14-S3-B8,8905723467050
A14-S3-B8,8905723457389
